,State_Abbr,Year,Crop_Name,Price_Received_USD_kg,Crop_Area_ha,Production_kg,FIPS,kcal_kg,Production_kcal,Production_USD,crop_code,state_pixels,kcal_pixel_state
130,MI,1999,RYE-ALL CLASSES,0.0669259723,8498.5835694051,19203307.2,26,3380.0,64907178336.0,1972207.32587474,crop_27,143071.0,453671.1027112413
131,MI,2017,SOYBEANS-ALL CLASSES,0.34502397213,918656.414407123,2625615362.5,26,4460.0,11710244516750.0,845432240.35816,crop_5,10640449.0,1100540.4486925318
132,MI,2017,SUGARBEETS-ALL CLASSES,0.0422185113,57871.3071630919,3269494740.0,26,700.0,2288646318000.0,128819612.450699,crop_41,658592.0,3475059.3964093095
133,MI,2017,WHEAT-ALL CLASSES,0.16681670218,171995.143666532,913760412.5,26,3338.0,3050132256925.0,142255904.128423,crop_22,0.0,
134,MI,2017,ASPARAGUS-ALL CLASSES,1.88848126104,4573.04734925131,13839091.92,26,106.0,1466943743.52,24390387.7000633,crop_207,7025.0,208817.61473594306
135,MI,2017,CABBAGE-ALL CLASSES,0.242508684,1578.30837717523,60146299.2,26,200.0,12029259840.0,13612397.8976255,crop_243,12601.0,954627.3978255694
136,MI,1999,CAULIFLOWER-ALL CLASSES,,161.877782274383,2358678.4,26,98.0,231150483.2,,crop_244,0.0,
137,MI,2017,CELERY-ALL CLASSES,0.29608105692,849.85835694051,56200048.8,26,138.0,7755606734.4,15529080.6365673,crop_245,5956.0,1302150.2240429819
138,MI,2017,CHERRIES-SWEET,0.843267915,2630.51396195872,19323040.5,26,514.0,9932042817.0,15206857.3001127,crop_66,405046.0,24520.777435155513
139,MI,2001,MELONS-CANTALOUP,0.462971124,202.347227842979,2404037.6,26,173.0,415898504.8,1619104.03141955,crop_209,0.0,
140,MI,2015,STRAWBERRIES-ALL CLASSES,3.444725625,263.051396195872,1270057.6,26,301.0,382287337.6,3801064.40708772,crop_221,61.0,6267005.53442623
141,MI,2017,SWEET CORN-ALL CLASSES,0.507063612,3682.71954674221,41276872.0,26,310.0,12795830320.0,19532941.7247567,crop_12,0.0,
142,MI,2017,PUMPKINS-ALL CLASSES,0.242508684,1983.00283286119,34450312.4,26,182.0,6269956856.8,7796844.79882846,crop_229,6962.0,900597.0779661017
143,MI,2001,RADISHES-ALL CLASSES,0.5511561,1214.08336705787,8845044.0,26,144.0,1273686336.0,7091762.94085384,crop_246,1212.0,1050896.3168316833
144,MI,2017,SQUASH-ALL CLASSES,0.4453341288,3723.18899231081,95980067.2,26,210.0,20155814112.0,39890130.6607558,crop_222,39524.0,509963.92348952533
145,MI,2017,APPLES-ALL CLASSES,0.668121981726,13354.9170376366,408159000.0,26,468.0,191018412000.0,254497527.755468,crop_68,222098.0,860063.6295689291
146,MI,2017,BLUEBERRIES-TAME,2.55782672872,8093.88911371914,46258020.0,26,542.0,25071846840.0,110422249.666399,crop_242,147867.0,169556.7424780377
147,MI,2017,GRAPES-ALL CLASSES,0.417775869,5058.68069607446,57696966.0,26,557.0,32137210062.0,22495453.748494,crop_69,85707.0,374965.9894991074
148,MI,2017,PEACHES-ALL CLASSES,1.25663454,890.327802509106,8708976.0,26,374.0,3257157024.0,10213498.1921773,crop_67,4462.0,729976.9215598387
149,MI,2015,PEARS-ALL CLASSES,0.666898155,259.004451639013,1877872.95,26,513.0,963348823.35,1088060.13151663,crop_77,1585.0,607791.0557413249
150,MI,2015,ONIONS-DRY,0.3108520404,971.266693646297,35924486.4,26,360.0,12932815104.0,9702227.75927543,crop_49,3333.0,3880232.5544554456
