SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
50,3,5,51,155,Virginia,Pulaski County,33800,33760,33759,-40,-1,79,289,152,539,-73,-250,0,2,37,246,37,248,-4,1,1008,1008,1008,8.560553326,15.96587627,-7.405322946,0.059242584,7.286837779,7.346080363
50,3,5,51,157,Virginia,Rappahannock County,7348,7312,7407,-36,95,10,45,22,88,-12,-43,0,-1,-22,140,-22,139,-2,-1,32,32,32,6.114545825,11.95733406,-5.842788233,-0.135878796,19.02303146,18.88715266
50,3,5,51,159,Virginia,Richmond County,8923,8920,9017,-3,97,12,65,24,129,-12,-64,0,4,10,159,10,163,-1,-2,1579,1579,1579,7.247588783,14.3836762,-7.136087417,0.446005464,17.72871718,18.17472264
50,3,5,51,161,Virginia,Roanoke County,96929,96845,96589,-84,-256,162,652,310,1157,-148,-505,0,41,74,192,74,233,-10,16,2299,2299,2299,6.741317452,11.96273664,-5.221419192,0.423917202,1.985173237,2.409090439
50,3,5,51,163,Virginia,Rockbridge County,22650,22610,22641,-40,31,28,108,87,283,-59,-175,1,2,21,206,22,208,-3,-2,452,452,452,4.773375174,12.50801087,-7.734635699,0.088395837,9.104771165,9.193167002
50,3,5,51,165,Virginia,Rockingham County,83757,83758,84394,1,636,191,821,206,929,-15,-108,0,61,21,680,21,741,-5,3,1610,1610,1610,9.764974547,11.04952662,-1.284552072,0.725534041,8.087920453,8.813454494
50,3,5,51,167,Virginia,Russell County,25781,25726,25550,-55,-176,63,256,120,429,-57,-173,0,1,3,-6,3,-5,-1,2,311,311,311,9.985178251,16.73297449,-6.74779624,0.039004603,-0.234027615,-0.195023013
50,3,5,51,169,Virginia,Scott County,21576,21547,21419,-29,-128,33,148,100,397,-67,-249,0,4,41,116,41,120,-3,1,729,729,729,6.88916818,18.47972816,-11.59055998,0.186193735,5.399618303,5.585812037
50,3,5,51,171,Virginia,Shenandoah County,44186,44255,44752,69,497,106,475,129,643,-23,-168,0,24,96,645,96,669,-4,-4,373,373,373,10.67331783,14.44830182,-3.77498399,0.539283427,14.49324211,15.03252553
50,3,5,51,173,Virginia,Smyth County,29800,29730,29477,-70,-253,55,219,152,554,-97,-335,0,6,31,73,31,79,-4,3,689,689,689,7.397773912,18.71400341,-11.3162295,0.202678737,2.465924637,2.668603375
50,3,5,51,175,Virginia,Southampton County,17996,17949,18006,-47,57,31,103,52,249,-21,-146,0,1,-26,205,-26,206,0,-3,1562,1562,1562,5.729383952,13.85064664,-8.121262689,0.055625087,11.40314282,11.4587679
50,3,5,51,177,Virginia,Spotsylvania County,140032,140475,143676,443,3201,344,1541,281,1242,63,299,1,64,377,2861,378,2925,2,-23,449,449,449,10.84634578,8.741830928,2.104514853,0.450464718,20.13718058,20.5876453
50,3,5,51,179,Virginia,Stafford County,156927,157604,160877,677,3273,424,1688,270,1025,154,663,-3,45,518,2583,515,2628,8,-18,4256,4256,4256,10.60031839,6.436804707,4.163513679,0.282591426,16.22074786,16.50333929
50,3,5,51,181,Virginia,Surry County,6561,6546,6530,-15,-16,12,63,25,78,-13,-15,0,-1,-1,0,-1,-1,-1,0,0,0,0,9.635974304,11.9302539,-2.294279596,-0.152951973,0,-0.152951973
50,3,5,51,183,Virginia,Sussex County,10829,10768,10763,-61,-5,13,80,51,160,-38,-80,0,1,-24,74,-24,75,1,0,2515,2515,2515,7.43114579,14.86229158,-7.43114579,0.092889322,6.873809856,6.966699178
50,3,5,51,185,Virginia,Tazewell County,40429,40343,39925,-86,-418,78,366,173,793,-95,-427,0,6,13,-3,13,3,-4,6,1675,1675,1675,9.119449843,19.75880799,-10.63935815,0.149499178,-0.074749589,0.074749589
50,3,5,51,187,Virginia,Warren County,40727,40782,40925,55,143,126,493,107,507,19,-14,-1,17,36,134,35,151,1,6,627,627,627,12.06750952,12.41019741,-0.342687897,0.416121018,3.280012728,3.696133746
50,3,5,51,191,Virginia,Washington County,53935,53839,53635,-96,-204,121,417,218,864,-97,-447,0,6,7,232,7,238,-6,5,1728,1728,1728,7.760016376,16.07830731,-8.318290935,0.111654912,4.31732326,4.428978172
50,3,5,51,193,Virginia,Westmoreland County,18477,18496,18731,19,235,53,166,81,262,-28,-96,-2,0,51,334,49,334,-2,-3,55,55,55,8.918258253,14.0758052,-5.157546942,0,17.9439654,17.9439654
50,3,5,51,195,Virginia,Wise County,36130,36018,35647,-112,-371,100,345,183,600,-83,-255,0,-3,-27,-118,-27,-121,-2,5,2712,2712,2712,9.628130887,16.74457546,-7.116444568,-0.083722877,-3.29309984,-3.376822717
50,3,5,51,197,Virginia,Wythe County,28290,28274,28178,-16,-96,67,252,116,449,-49,-197,0,-2,35,99,35,97,-2,4,188,188,188,8.92793878,15.90731949,-6.979380713,-0.070856657,3.507404521,3.436547864
50,3,5,51,199,Virginia,York County,70045,70154,70915,109,761,135,550,147,646,-12,-96,4,43,117,818,121,861,0,-4,599,599,599,7.797602592,9.15863868,-1.361036089,0.609630748,11.59716167,12.20679242
50,3,5,51,510,Virginia,Alexandria city,159467,159097,154706,-370,-4391,596,2336,204,1046,392,1290,28,608,-797,-6188,-769,-5580,7,-101,1655,1655,1655,14.88832165,6.666602932,8.221718722,3.875042622,-39.43875616,-35.56371354
50,3,5,51,520,Virginia,Bristol city,17219,17259,17054,40,-205,31,141,71,270,-40,-129,-1,0,82,-77,81,-77,-1,1,188,188,188,8.218459476,15.73747559,-7.519016116,0,-4.488094891,-4.488094891
50,3,5,51,530,Virginia,Buena Vista city,6641,6620,6601,-21,-19,24,75,24,97,0,-22,0,2,-21,1,-21,3,0,0,493,493,493,11.34558657,14.67362529,-3.328038726,0.302548975,0.151274488,0.453823463
50,3,5,51,540,Virginia,Charlottesville city,46553,46423,45672,-130,-751,139,593,89,329,50,264,2,114,-184,-1116,-182,-1002,2,-13,2244,2244,2244,12.87800641,7.144796134,5.733210272,2.475704436,-24.23584342,-21.76013899
50,3,5,51,550,Virginia,Chesapeake city,249422,249679,251269,257,1590,715,2782,605,2398,110,384,-5,153,147,1014,142,1167,5,39,4222,4222,4222,11.10694124,9.573847984,1.533093255,0.610841844,4.048324377,4.659166221
50,3,5,51,570,Virginia,Colonial Heights city,18170,18191,18273,21,82,67,264,70,236,-3,28,0,5,24,49,24,54,0,0,165,165,165,14.4800351,12.9442738,1.535761299,0.274243089,2.687582273,2.961825362
50,3,5,51,580,Virginia,Covington city,5737,5721,5717,-16,-4,16,64,31,72,-15,-8,0,3,0,0,0,3,-1,1,87,87,87,11.19076762,12.58961357,-1.398845952,0.524567232,0,0.524567232
50,3,5,51,590,Virginia,Danville city,42590,42465,42215,-125,-250,101,411,235,779,-134,-368,-1,20,13,92,12,112,-3,6,1593,1593,1593,9.707132735,18.39867737,-8.691544639,0.472366556,2.17288616,2.645252716
50,3,5,51,595,Virginia,Emporia city,5766,5716,5667,-50,-49,14,59,26,86,-12,-27,0,-1,-37,-22,-37,-23,-1,1,242,242,242,10.36633576,15.11025213,-4.743916367,-0.175700606,-3.865413336,-4.041113942
50,3,5,51,600,Virginia,Fairfax city,24146,24129,24276,-17,147,150,602,91,263,59,339,0,100,-77,-290,-77,-190,1,-2,497,497,497,24.87346349,10.86664601,14.00681748,4.131804566,-11.98223324,-7.850428675
50,3,5,51,610,Virginia,Falls Church city,14658,14654,14493,-4,-161,43,185,42,130,1,55,0,16,-5,-231,-5,-215,0,-1,35,35,35,12.69427385,8.920300546,3.773973308,1.097883144,-15.85068789,-14.75280475
50,3,5,51,620,Virginia,Franklin city,8180,8171,8217,-9,46,41,156,36,115,5,41,0,0,-14,5,-14,5,0,0,124,124,124,19.03832072,14.03465951,5.003661216,0,0.610202587,0.610202587
50,3,5,51,630,Virginia,Fredericksburg city,27982,27995,28367,13,372,82,355,69,285,13,70,1,77,-2,223,-1,300,1,2,2377,2377,2377,12.59713992,10.11319684,2.483943082,2.73233739,7.913132962,10.64547035
50,3,5,51,640,Virginia,Galax city,6720,6691,6660,-29,-31,21,97,43,115,-22,-18,-1,2,-6,-16,-7,-14,0,1,371,371,371,14.53074676,17.22717399,-2.696427234,0.299603026,-2.396824208,-2.097221182
50,3,5,51,650,Virginia,Hampton city,137148,137131,137746,-17,615,389,1523,409,1476,-20,47,1,47,2,499,3,546,0,22,4857,4857,4857,11.08132001,10.73934887,0.341971136,0.341971136,3.630714829,3.972685965
50,3,5,51,660,Virginia,Harrisonburg city,51814,51675,51430,-139,-245,145,593,91,342,54,251,4,192,-202,-686,-198,-494,5,-2,7324,7324,7324,11.50283691,6.634013869,4.868823045,3.724358664,-13.30682314,-9.582464478
50,3,5,51,670,Virginia,Hopewell city,23033,22967,23140,-66,173,91,321,105,316,-14,5,1,21,-53,146,-52,167,0,1,215,215,215,13.924133,13.70724619,0.216886807,0.910924589,6.333094758,7.244019346
50,3,5,51,678,Virginia,Lexington city,7320,7313,7456,-7,143,22,117,31,72,-9,45,0,3,2,95,2,98,0,0,2762,2762,2762,15.84399756,9.750152346,6.093845216,0.406256348,12.86478435,13.27104069
50,3,5,51,680,Virginia,Lynchburg city,79009,78871,79009,-138,138,267,1077,248,899,19,178,3,111,-162,-160,-159,-49,2,9,10459,10459,10459,13.64327337,11.38839625,2.254877122,1.406131239,-2.02685584,-0.620724601
50,3,5,51,683,Virginia,Manassas city,42772,42728,42708,-44,-20,178,665,59,268,119,397,1,97,-167,-514,-166,-417,3,0,46,46,46,15.5672082,6.273701952,9.29350625,2.270705557,-12.03239852,-9.761692963
50,3,5,51,685,Virginia,Manassas Park city,17219,17140,17002,-79,-138,6,35,22,72,-16,-37,1,44,-67,-148,-66,-104,3,3,3,3,3,2.050260676,4.217679105,-2.167418429,2.577470564,-8.669673716,-6.092203152
50,3,5,51,690,Virginia,Martinsville city,13485,13422,13517,-63,95,56,253,107,262,-51,-9,0,5,-13,99,-13,104,1,0,376,376,376,18.78317681,19.45135306,-0.66817625,0.371209028,7.349938751,7.721147778
50,3,5,51,700,Virginia,Newport News city,186247,185916,184587,-331,-1329,665,2630,485,1888,180,742,5,230,-523,-2293,-518,-2063,7,-8,8125,8125,8125,14.19691608,10.19155041,4.005365679,1.241555399,-12.37776752,-11.13621212
50,3,5,51,710,Virginia,Norfolk city,238005,237591,235089,-414,-2502,758,3241,602,2440,156,801,3,264,-583,-3540,-580,-3276,10,-27,32813,32813,32813,13.71329441,10.32410933,3.389185072,1.11703478,-14.97842092,-13.86138614
50,3,5,51,720,Virginia,Norton city,3687,3679,3666,-8,-13,9,45,14,49,-5,-4,0,2,-3,-12,-3,-10,0,1,31,31,31,12.25323349,13.3424098,-1.08917631,0.544588155,-3.267528931,-2.722940776
50,3,5,51,730,Virginia,Petersburg city,33458,33428,33429,-30,1,169,660,138,570,31,90,2,2,-63,-95,-61,-93,0,4,893,893,893,19.74363193,17.05131849,2.692313445,0.059829188,-2.841886414,-2.782057227
50,3,5,51,735,Virginia,Poquoson city,12460,12455,12574,-5,119,19,97,37,139,-18,-42,0,1,13,162,13,163,0,-2,37,37,37,7.75100883,11.10711575,-3.356106916,0.079907308,12.94498382,13.02489113
50,3,5,51,740,Virginia,Portsmouth city,97915,98015,97840,100,-175,346,1414,256,1203,90,211,0,51,9,-451,9,-400,1,14,2987,2987,2987,14.43925353,12.2845983,2.15465523,0.520793444,-4.605447908,-4.084654464
50,3,5,51,750,Virginia,Radford city,16070,16089,16499,19,410,29,123,39,116,-10,7,0,3,28,404,28,407,1,-4,3000,3000,3000,7.548790966,7.119184976,0.42960599,0.184116853,24.79440285,24.9785197
